resume_id,version,changed_signal,job_id,job_title,blind_similarity_score
R1,original,none,J1,Software Engineer,0.5683252215385437
R1,original,none,J2,Financial Analyst,0.1878966987133026
R1,original,none,J3,Marketing Coordinator,0.3009214997291565
R1,original,none,J4,Clinical Data Analyst,0.37477850914001465
R1,original,none,J5,Academic Advisor,0.3265955448150635
R1,name_changed,name,J1,Software Engineer,0.5683252215385437
R1,name_changed,name,J2,Financial Analyst,0.1878966987133026
R1,name_changed,name,J3,Marketing Coordinator,0.3009214997291565
R1,name_changed,name,J4,Clinical Data Analyst,0.37477850914001465
R1,name_changed,name,J5,Academic Advisor,0.3265955448150635
R1,pronoun_changed,pronoun,J1,Software Engineer,0.5683252215385437
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.1878966987133026
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.3009214997291565
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.37477850914001465
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.3265955448150635
R1,university_changed,university,J1,Software Engineer,0.5683252215385437
R1,university_changed,university,J2,Financial Analyst,0.1878966987133026
R1,university_changed,university,J3,Marketing Coordinator,0.3009214997291565
R1,university_changed,university,J4,Clinical Data Analyst,0.37477850914001465
R1,university_changed,university,J5,Academic Advisor,0.3265955448150635
R2,original,none,J1,Software Engineer,0.5826138854026794
R2,original,none,J2,Financial Analyst,0.14732930064201355
R2,original,none,J3,Marketing Coordinator,0.2923845052719116
R2,original,none,J4,Clinical Data Analyst,0.30249297618865967
R2,original,none,J5,Academic Advisor,0.3110726773738861
R2,name_changed,name,J1,Software Engineer,0.5826138854026794
R2,name_changed,name,J2,Financial Analyst,0.14732930064201355
R2,name_changed,name,J3,Marketing Coordinator,0.2923845052719116
R2,name_changed,name,J4,Clinical Data Analyst,0.30249297618865967
R2,name_changed,name,J5,Academic Advisor,0.3110726773738861
R2,pronoun_changed,pronoun,J1,Software Engineer,0.5826138854026794
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.14732930064201355
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2923845052719116
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.30249297618865967
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.3110726773738861
R2,university_changed,university,J1,Software Engineer,0.5826138854026794
R2,university_changed,university,J2,Financial Analyst,0.14732930064201355
R2,university_changed,university,J3,Marketing Coordinator,0.2923845052719116
R2,university_changed,university,J4,Clinical Data Analyst,0.30249297618865967
R2,university_changed,university,J5,Academic Advisor,0.3110726773738861
R3,original,none,J1,Software Engineer,0.314841628074646
R3,original,none,J2,Financial Analyst,0.420423686504364
R3,original,none,J3,Marketing Coordinator,0.2756330072879791
R3,original,none,J4,Clinical Data Analyst,0.40930476784706116
R3,original,none,J5,Academic Advisor,0.29147517681121826
R3,name_changed,name,J1,Software Engineer,0.314841628074646
R3,name_changed,name,J2,Financial Analyst,0.420423686504364
R3,name_changed,name,J3,Marketing Coordinator,0.2756330072879791
R3,name_changed,name,J4,Clinical Data Analyst,0.40930476784706116
R3,name_changed,name,J5,Academic Advisor,0.29147517681121826
R3,pronoun_changed,pronoun,J1,Software Engineer,0.314841628074646
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.420423686504364
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2756330072879791
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.40930476784706116
R3,pronoun_changed,pronoun,J5,Academic Advisor,0.29147517681121826
R3,university_changed,university,J1,Software Engineer,0.314841628074646
R3,university_changed,university,J2,Financial Analyst,0.420423686504364
R3,university_changed,university,J3,Marketing Coordinator,0.2756330072879791
R3,university_changed,university,J4,Clinical Data Analyst,0.40930476784706116
R3,university_changed,university,J5,Academic Advisor,0.29147517681121826
R4,original,none,J1,Software Engineer,0.2734836935997009
R4,original,none,J2,Financial Analyst,0.4492912292480469
R4,original,none,J3,Marketing Coordinator,0.2930997908115387
R4,original,none,J4,Clinical Data Analyst,0.47983014583587646
R4,original,none,J5,Academic Advisor,0.2776971757411957
R4,name_changed,name,J1,Software Engineer,0.2734836935997009
R4,name_changed,name,J2,Financial Analyst,0.4492912292480469
R4,name_changed,name,J3,Marketing Coordinator,0.2930997908115387
R4,name_changed,name,J4,Clinical Data Analyst,0.47983014583587646
R4,name_changed,name,J5,Academic Advisor,0.2776971757411957
R4,pronoun_changed,pronoun,J1,Software Engineer,0.2734836935997009
R4,pronoun_changed,pronoun,J2,Financial Analyst,0.4492912292480469
R4,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2930997908115387
R4,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.47983014583587646
R4,pronoun_changed,pronoun,J5,Academic Advisor,0.2776971757411957
R4,university_changed,university,J1,Software Engineer,0.2734836935997009
R4,university_changed,university,J2,Financial Analyst,0.4492912292480469
R4,university_changed,university,J3,Marketing Coordinator,0.2930997908115387
R4,university_changed,university,J4,Clinical Data Analyst,0.47983014583587646
R4,university_changed,university,J5,Academic Advisor,0.2776971757411957
R5,original,none,J1,Software Engineer,0.2945393919944763
R5,original,none,J2,Financial Analyst,0.19172720611095428
R5,original,none,J3,Marketing Coordinator,0.44925034046173096
R5,original,none,J4,Clinical Data Analyst,0.2537367343902588
R5,original,none,J5,Academic Advisor,0.2942923307418823
R5,name_changed,name,J1,Software Engineer,0.2945393919944763
R5,name_changed,name,J2,Financial Analyst,0.19172720611095428
R5,name_changed,name,J3,Marketing Coordinator,0.44925034046173096
R5,name_changed,name,J4,Clinical Data Analyst,0.2537367343902588
R5,name_changed,name,J5,Academic Advisor,0.2942923307418823
R5,pronoun_changed,pronoun,J1,Software Engineer,0.2945393919944763
R5,pronoun_changed,pronoun,J2,Financial Analyst,0.19172720611095428
R5,pronoun_changed,pronoun,J3,Marketing Coordinator,0.44925034046173096
R5,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.2537367343902588
R5,pronoun_changed,pronoun,J5,Academic Advisor,0.2942923307418823
R5,university_changed,university,J1,Software Engineer,0.2945393919944763
R5,university_changed,university,J2,Financial Analyst,0.19172720611095428
R5,university_changed,university,J3,Marketing Coordinator,0.44925034046173096
R5,university_changed,university,J4,Clinical Data Analyst,0.2537367343902588
R5,university_changed,university,J5,Academic Advisor,0.2942923307418823
R6,original,none,J1,Software Engineer,0.29459714889526367
R6,original,none,J2,Financial Analyst,0.19882576167583466
R6,original,none,J3,Marketing Coordinator,0.49565374851226807
R6,original,none,J4,Clinical Data Analyst,0.3618912696838379
R6,original,none,J5,Academic Advisor,0.23314955830574036
R6,name_changed,name,J1,Software Engineer,0.29459714889526367
R6,name_changed,name,J2,Financial Analyst,0.19882576167583466
R6,name_changed,name,J3,Marketing Coordinator,0.49565374851226807
R6,name_changed,name,J4,Clinical Data Analyst,0.3618912696838379
R6,name_changed,name,J5,Academic Advisor,0.23314955830574036
R6,pronoun_changed,pronoun,J1,Software Engineer,0.29459714889526367
R6,pronoun_changed,pronoun,J2,Financial Analyst,0.19882576167583466
R6,pronoun_changed,pronoun,J3,Marketing Coordinator,0.49565374851226807
R6,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.3618912696838379
R6,pronoun_changed,pronoun,J5,Academic Advisor,0.23314955830574036
R6,university_changed,university,J1,Software Engineer,0.29459714889526367
R6,university_changed,university,J2,Financial Analyst,0.19882576167583466
R6,university_changed,university,J3,Marketing Coordinator,0.49565374851226807
R6,university_changed,university,J4,Clinical Data Analyst,0.3618912696838379
R6,university_changed,university,J5,Academic Advisor,0.23314955830574036
R7,original,none,J1,Software Engineer,0.29846370220184326
R7,original,none,J2,Financial Analyst,0.36727795004844666
R7,original,none,J3,Marketing Coordinator,0.19486771523952484
R7,original,none,J4,Clinical Data Analyst,0.6485248804092407
R7,original,none,J5,Academic Advisor,0.2779234051704407
R7,name_changed,name,J1,Software Engineer,0.29846370220184326
R7,name_changed,name,J2,Financial Analyst,0.36727795004844666
R7,name_changed,name,J3,Marketing Coordinator,0.19486771523952484
R7,name_changed,name,J4,Clinical Data Analyst,0.6485248804092407
R7,name_changed,name,J5,Academic Advisor,0.2779234051704407
R7,pronoun_changed,pronoun,J1,Software Engineer,0.29846370220184326
R7,pronoun_changed,pronoun,J2,Financial Analyst,0.36727795004844666
R7,pronoun_changed,pronoun,J3,Marketing Coordinator,0.19486771523952484
R7,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.6485248804092407
R7,pronoun_changed,pronoun,J5,Academic Advisor,0.2779234051704407
R7,university_changed,university,J1,Software Engineer,0.29846370220184326
R7,university_changed,university,J2,Financial Analyst,0.36727795004844666
R7,university_changed,university,J3,Marketing Coordinator,0.19486771523952484
R7,university_changed,university,J4,Clinical Data Analyst,0.6485248804092407
R7,university_changed,university,J5,Academic Advisor,0.2779234051704407
R8,original,none,J1,Software Engineer,0.21700800955295563
R8,original,none,J2,Financial Analyst,0.3287484049797058
R8,original,none,J3,Marketing Coordinator,0.30581265687942505
R8,original,none,J4,Clinical Data Analyst,0.5565868616104126
R8,original,none,J5,Academic Advisor,0.26783695816993713
R8,name_changed,name,J1,Software Engineer,0.21700800955295563
R8,name_changed,name,J2,Financial Analyst,0.3287484049797058
R8,name_changed,name,J3,Marketing Coordinator,0.30581265687942505
R8,name_changed,name,J4,Clinical Data Analyst,0.5565868616104126
R8,name_changed,name,J5,Academic Advisor,0.26783695816993713
R8,pronoun_changed,pronoun,J1,Software Engineer,0.21700800955295563
R8,pronoun_changed,pronoun,J2,Financial Analyst,0.3287484049797058
R8,pronoun_changed,pronoun,J3,Marketing Coordinator,0.30581265687942505
R8,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.5565868616104126
