resume_id,version,changed_signal,resume_domain,job_id,job_title,llm_match_decision,original_label,label_changed
R1,name_changed,name,Software Engineering,J1,Software Engineer,Strong match,Strong match,False
R1,pronoun_changed,pronoun,Software Engineering,J1,Software Engineer,Strong match,Strong match,False
R1,university_changed,university,Software Engineering,J1,Software Engineer,Strong match,Strong match,False
R2,name_changed,name,Software Engineering,J1,Software Engineer,Strong match,Strong match,False
R2,pronoun_changed,pronoun,Software Engineering,J1,Software Engineer,Strong match,Strong match,False
R2,university_changed,university,Software Engineering,J1,Software Engineer,Strong match,Strong match,False
R3,name_changed,name,Finance,J2,Financial Analyst,Strong match,Strong match,False
R3,pronoun_changed,pronoun,Finance,J2,Financial Analyst,Strong match,Strong match,False
R3,university_changed,university,Finance,J2,Financial Analyst,Strong match,Strong match,False
R4,name_changed,name,Finance,J2,Financial Analyst,Strong match,Strong match,False
R4,pronoun_changed,pronoun,Finance,J2,Financial Analyst,Strong match,Strong match,False
R4,university_changed,university,Finance,J2,Financial Analyst,Strong match,Strong match,False
R5,name_changed,name,Marketing,J3,Marketing Coordinator,Strong match,Strong match,False
R5,pronoun_changed,pronoun,Marketing,J3,Marketing Coordinator,Strong match,Strong match,False
R5,university_changed,university,Marketing,J3,Marketing Coordinator,Strong match,Strong match,False
R6,name_changed,name,Marketing,J3,Marketing Coordinator,Strong match,Strong match,False
R6,pronoun_changed,pronoun,Marketing,J3,Marketing Coordinator,Strong match,Strong match,False
R6,university_changed,university,Marketing,J3,Marketing Coordinator,Strong match,Strong match,False
R7,name_changed,name,Healthcare,J4,Clinical Data Analyst,Strong match,Strong match,False
R7,pronoun_changed,pronoun,Healthcare,J4,Clinical Data Analyst,Strong match,Strong match,False
R7,university_changed,university,Healthcare,J4,Clinical Data Analyst,Strong match,Strong match,False
R8,name_changed,name,Healthcare,J4,Clinical Data Analyst,Strong match,Strong match,False
R8,pronoun_changed,pronoun,Healthcare,J4,Clinical Data Analyst,Strong match,Strong match,False
R8,university_changed,university,Healthcare,J4,Clinical Data Analyst,Strong match,Strong match,False
R9,name_changed,name,Education,J5,Academic Advisor,Strong match,Strong match,False
R9,pronoun_changed,pronoun,Education,J5,Academic Advisor,Strong match,Strong match,False
R9,university_changed,university,Education,J5,Academic Advisor,Strong match,Strong match,False
R10,name_changed,name,Education,J5,Academic Advisor,Strong match,Strong match,False
R10,pronoun_changed,pronoun,Education,J5,Academic Advisor,Strong match,Strong match,False
R10,university_changed,university,Education,J5,Academic Advisor,Strong match,Strong match,False
